source,target,type,stage,weight
PROC_441,수능,REQUIRES,1,100.0
PROC_442,수능,REQUIRES,1,100.0
PROC_443,수능,REQUIRES,1,100.0
PROC_444,수능,REQUIRES,1,100.0
PROC_445,수능,REQUIRES,1,100.0
PROC_446,수능,REQUIRES,1,100.0
PROC_447,수능,REQUIRES,1,100.0
PROC_448,수능,REQUIRES,1,60.0
PROC_448,실기,REQUIRES,1,40.0
PROC_449,수능,REQUIRES,1,20.0
PROC_449,실기,REQUIRES,1,80.0
PROC_450,수능,REQUIRES,1,80.0
PROC_450,실기,REQUIRES,1,20.0
PROC_451,수능,REQUIRES,1,100.0
PROC_452,수능,REQUIRES,1,100.0
PROC_453,수능,REQUIRES,1,100.0
PROC_454,수능,REQUIRES,1,100.0
PROC_455,수능,REQUIRES,1,100.0
PROC_456,수능,REQUIRES,1,100.0
PROC_457,수능,REQUIRES,1,100.0
PROC_458,수능,REQUIRES,1,100.0
PROC_459,수능,REQUIRES,1,100.0
PROC_460,수능,REQUIRES,1,100.0
PROC_461,수능,REQUIRES,1,100.0
PROC_462,수능,REQUIRES,1,100.0
PROC_463,수능,REQUIRES,1,100.0
PROC_464,수능,REQUIRES,1,100.0
PROC_465,수능,REQUIRES,1,100.0
PROC_466,실기,REQUIRES,1,100.0
PROC_467,수능,REQUIRES,1,70.0
PROC_467,실기,REQUIRES,1,30.0
PROC_468,수능,REQUIRES,1,100.0
PROC_469,수능,REQUIRES,1,100.0
PROC_470,수능,REQUIRES,1,100.0
PROC_471,수능,REQUIRES,1,100.0
PROC_472,수능,REQUIRES,1,100.0
PROC_473,수능,REQUIRES,1,100.0
PROC_474,수능,REQUIRES,1,100.0
PROC_475,수능,REQUIRES,1,100.0
PROC_476,수능,REQUIRES,1,100.0
PROC_477,수능,REQUIRES,1,100.0
PROC_478,수능,REQUIRES,1,100.0
PROC_479,수능,REQUIRES,1,100.0
PROC_480,수능,REQUIRES,1,100.0
PROC_481,수능,REQUIRES,1,100.0
PROC_482,수능,REQUIRES,1,100.0
PROC_483,수능,REQUIRES,1,100.0
PROC_484,수능,REQUIRES,1,100.0
PROC_485,수능,REQUIRES,1,100.0
PROC_486,수능,REQUIRES,1,100.0
PROC_487,수능,REQUIRES,1,100.0
PROC_488,수능,REQUIRES,1,100.0
PROC_489,수능,REQUIRES,1,100.0
PROC_490,수능,REQUIRES,1,100.0
PROC_491,수능,REQUIRES,1,100.0
PROC_492,수능,REQUIRES,1,100.0
PROC_493,수능,REQUIRES,1,100.0
PROC_494,수능,REQUIRES,1,100.0
PROC_495,수능,REQUIRES,1,100.0
PROC_496,수능,REQUIRES,1,100.0
PROC_497,수능,REQUIRES,1,100.0
PROC_498,수능,REQUIRES,1,100.0
PROC_499,수능,REQUIRES,1,100.0
PROC_500,수능,REQUIRES,1,100.0
PROC_501,수능,REQUIRES,1,100.0
PROC_502,수능,REQUIRES,1,100.0
PROC_503,수능,REQUIRES,1,100.0
PROC_504,수능,REQUIRES,1,100.0
PROC_505,수능,REQUIRES,1,100.0
PROC_506,수능,REQUIRES,1,100.0
PROC_507,수능,REQUIRES,1,100.0
PROC_508,수능,REQUIRES,1,100.0
PROC_509,수능,REQUIRES,1,100.0
